secid,date,ticker,low,high,open,close
101310,20200102,AMZN,1864.15,1898.01,1875,1898.01
101310,20200103,AMZN,1864.5,1886.197,1864.5,1874.97
101310,20200106,AMZN,1860,1903.69,1860,1902.88
101310,20200107,AMZN,1892.043,1913.89,1904.5,1906.86
101310,20200108,AMZN,1886.445,1911,1898.04,1891.97
101310,20200109,AMZN,1895.804,1917.82,1909.89,1901.05
101310,20200110,AMZN,1880,1906.94,1905.37,1883.16
101310,20200113,AMZN,1880.8,1898,1891.31,1891.3
101310,20200114,AMZN,1858.55,1887.11,1885.88,1869.44
101310,20200115,AMZN,1855.09,1878.86,1872.25,1862.02
101310,20200116,AMZN,1866.02,1885.59,1882.99,1877.94
101310,20200117,AMZN,1857.25,1886.64,1885.89,1864.72
101310,20200121,AMZN,1860,1894.27,1865,1892
101310,20200122,AMZN,1883.34,1902.5,1896.09,1887.46
101310,20200123,AMZN,1872.76,1889.975,1885.11,1884.58
101310,20200124,AMZN,1847.44,1894.99,1891.37,1861.64
101310,20200127,AMZN,1815.34,1841,1820,1828.34
101310,20200128,AMZN,1830.02,1858.11,1840.5,1853.25
101310,20200129,AMZN,1855.02,1874.75,1864,1858
101310,20200130,AMZN,1850.61,1872.87,1858,1870.68
101310,20200131,AMZN,2002.27,2055.72,2051.47,2008.72
101310,20200203,AMZN,2000.25,2048.5,2010.6,2004.2
101310,20200204,AMZN,2015.37,2059.8,2029.88,2049.67
101310,20200205,AMZN,2032,2071.02,2071.02,2039.87
101310,20200206,AMZN,2024.8,2056.3,2041.02,2050.23
101310,20200207,AMZN,2038.1,2098.53,2041.99,2079.28
101310,20200210,AMZN,2084.96,2135.6,2085.01,2133.91
101310,20200211,AMZN,2136,2185.95,2150.9,2150.8
101310,20200212,AMZN,2155.29,2180.25,2163.2,2160
101310,20200213,AMZN,2142,2170.28,2144.99,2149.87
101310,20200214,AMZN,2125.89,2159.035,2155.68,2134.87
101310,20200218,AMZN,2124.105,2166.07,2125.02,2155.67
101310,20200219,AMZN,2161.12,2185.1,2167.8,2170.22
101310,20200220,AMZN,2127.45,2176.79,2173.07,2153.1
101310,20200221,AMZN,2088,2144.55,2142.15,2095.97
101310,20200224,AMZN,1987.974,2039.295,2003.18,2009.29
101310,20200225,AMZN,1958.42,2034.6,2026.42,1972.74
101310,20200226,AMZN,1960.45,2014.67,1970.28,1979.59
101310,20200227,AMZN,1882.762,1975,1934.38,1884.3
101310,20200228,AMZN,1811.129,1889.76,1814.63,1883.75
101310,20200302,AMZN,1870,1954.51,1906.49,1953.95
101310,20200303,AMZN,1888.09,1996.33,1975.37,1908.99
101310,20200304,AMZN,1922,1978,1946.57,1975.83
101310,20200305,AMZN,1910,1960.72,1933,1924.03
101310,20200306,AMZN,1869.5,1910.87,1875,1901.09
101310,20200309,AMZN,1761.29,1862.77,1773.86,1800.61
101310,20200310,AMZN,1818.17,1894.27,1870.88,1891.82
101310,20200311,AMZN,1801.5,1871.319,1857.85,1820.86
101310,20200312,AMZN,1675,1765,1721.98,1676.61
101310,20200313,AMZN,1680.62,1786.31,1755,1785
101310,20200316,AMZN,1626.032,1759.452,1641.51,1689.15
101310,20200317,AMZN,1689.24,1857.775,1775.47,1807.84
101310,20200318,AMZN,1745,1841.66,1750,1830
101310,20200319,AMZN,1832.65,1945,1860,1880.93
101310,20200320,AMZN,1820.73,1957,1926.31,1846.09
101310,20200323,AMZN,1812,1919.4,1827.75,1902.83
101310,20200324,AMZN,1900.34,1955,1951.495,1940.1
101310,20200325,AMZN,1885.78,1950.26,1920.69,1885.84
