date,days,rate
20200102,7,1.61526
20200102,13,1.650734
20200102,48,1.793245
20200102,76,1.787688
20200102,104,1.778308
20200102,139,1.766726
20200102,167,1.757609
20200102,258,1.737193
20200102,349,1.714261
20200102,440,1.697681
20200102,531,1.676401
20200102,622,1.661347
20200102,713,1.650136
20200102,804,1.646035
20200102,895,1.643281
20200102,993,1.643346
20200102,1084,1.645536
20200102,1168,1.65018
20200102,1266,1.655947
20200102,1357,1.662606
20200102,1448,1.670014
20200102,1539,1.678337
20200102,1630,1.686857
20200102,1721,1.696344
20200102,1812,1.706399
20200102,1903,1.717181
20200102,1994,1.728129
20200102,2085,1.739664
20200102,2176,1.751499
20200102,2267,1.763801
20200102,2358,1.775933
20200102,2449,1.788099
20200102,2540,1.800298
20200102,2631,1.812698
20200102,2722,1.824776
20200102,2813,1.836561
20200102,2904,1.847924
20200102,2995,1.859362
20200102,3093,1.871232
20200102,3184,1.882045
20200102,3275,1.892538
20200102,3366,1.903144
20200102,3457,1.913723
20200102,3548,1.924018
20200102,3639,1.93405
20200103,7,1.610699
20200103,12,1.636965
20200103,47,1.788993
20200103,75,1.784949
20200103,103,1.776223
20200103,138,1.763802
20200103,166,1.752561
20200103,257,1.723128
20200103,348,1.689285
20200103,439,1.663192
20200103,530,1.633919
20200103,621,1.611746
20200103,712,1.59524
20200103,803,1.587055
20200103,894,1.580535
20200103,992,1.576825
20200103,1083,1.576122
20200103,1167,1.578496
20200103,1265,1.582001
20200103,1356,1.586514
20200103,1447,1.592046
20200103,1538,1.598716
20200103,1629,1.605769
20200103,1720,1.613945
20200103,1811,1.62282
20200103,1902,1.632537
20200103,1993,1.642288
20200103,2084,1.652729
20200103,2175,1.663564
20200103,2266,1.675149
20200103,2357,1.686619
20200103,2448,1.698173
20200103,2539,1.709804
20200103,2630,1.721676
20200103,2721,1.733261
20200103,2812,1.744585
20200103,2903,1.755515
20200103,2994,1.766548
20200103,3092,1.778008
20200103,3183,1.788463
20200103,3274,1.798618
20200103,3365,1.808904
20200103,3456,1.81918
20200103,3547,1.829188
20200103,3638,1.838947
20200106,7,1.60031
20200106,9,1.609816
20200106,44,1.78978
20200106,72,1.785262
20200106,100,1.774769
20200106,135,1.761137
20200106,163,1.749277
20200106,254,1.718864
20200106,345,1.684519
20200106,436,1.659241
20200106,527,1.630485
20200106,618,1.608709
20200106,709,1.592524
20200106,800,1.584042
20200106,891,1.577292
20200106,989,1.573392
20200106,1080,1.572125
20200106,1164,1.574065
20200106,1262,1.576747
20200106,1353,1.580604
20200106,1444,1.585566
20200106,1535,1.591735
20200106,1626,1.598344
20200106,1717,1.605858
20200106,1808,1.614139
20200106,1899,1.62332
20200106,1990,1.632584
20200106,2081,1.642582
20200106,2172,1.653011
20200106,2263,1.664225
20200106,2354,1.675351
20200106,2445,1.686588
20200106,2536,1.697924
20200106,2627,1.709523
20200106,2718,1.720851
20200106,2809,1.731936
20200106,2900,1.742642
20200106,2991,1.753463
20200106,3089,1.76471
20200106,3180,1.774979
20200106,3271,1.784956
20200106,3362,1.795076
20200106,3453,1.805194
20200106,3544,1.815051
20200106,3635,1.824667
20200107,7,1.607912
20200107,8,1.612638
20200107,43,1.806847
20200107,71,1.797531
20200107,99,1.78203
20200107,134,1.763756
20200107,162,1.74962
20200107,253,1.718964
20200107,344,1.684493
20200107,435,1.659162
20200107,526,1.631238
20200107,617,1.611551
20200107,708,1.596925
20200107,799,1.590232
20200107,890,1.584907
20200107,988,1.582251
20200107,1079,1.581939
20200107,1163,1.584631
20200107,1261,1.588063
20200107,1352,1.592521
20200107,1443,1.59769
20200107,1534,1.604042
20200107,1625,1.610814
20200107,1716,1.618473
20200107,1807,1.626887
20200107,1898,1.636187
20200107,1989,1.645559
20200107,2080,1.655657
20200107,2171,1.666177
20200107,2262,1.677475
20200107,2353,1.688679
20200107,2444,1.699988
20200107,2535,1.71139
20200107,2626,1.723051
20200107,2717,1.734438
20200107,2808,1.745577
20200107,2899,1.756333
20200107,2990,1.767201
20200107,3088,1.778496
20200107,3179,1.788806
20200107,3270,1.798823
20200107,3361,1.80898
20200107,3452,1.819133
20200107,3543,1.829023
20200107,3634,1.838671
20200108,7,1.596377
20200108,31,1.699197
20200108,42,1.760019
20200108,70,1.769301
20200108,98,1.764601
20200108,133,1.754771
20200108,161,1.744752
20200108,252,1.723024
20200108,343,1.695413
20200108,434,1.677263
20200108,525,1.654902
20200108,616,1.639148
20200108,707,1.628099
20200108,798,1.624177
20200108,889,1.621058
20200108,987,1.620322
20200108,1078,1.621911
20200108,1162,1.626096
20200108,1260,1.631017
20200108,1351,1.636325
20200108,1442,1.642556
20200108,1533,1.649845
20200108,1624,1.657448
20200108,1715,1.665851
20200108,1806,1.674933
20200108,1897,1.684838
20200108,1988,1.69476
20200108,2079,1.705359
20200108,2170,1.716339
20200108,2261,1.728059
20200108,2352,1.739653
20200108,2443,1.751322
20200108,2534,1.763059
20200108,2625,1.775031
20200108,2716,1.786708
20200108,2807,1.798118
20200108,2898,1.809128
20200108,2989,1.820235
20200108,3087,1.83177
20200108,3178,1.84229
